# empreintes d extraction PDF -- reference de non-regression
# commit : df92fe14 (etat AVANT la capture des MCID)
# NOTE : ce fichier a ete regenere depuis la mesure d apres capture, dont
#   l identite stricte avec l originale a ete PROUVEE (258/258 hash egaux).
#   L originale avait ete corrompue par un script Python qui la relisait en
#   texte : errors=replace transforme tout octet non-UTF-8 en U+FFFD, et les
#   noms de fichiers accentues de Windows n en sont pas. 15 noms detruits, et
#   les trois controles ne l ont pas vu -- ils comptaient des lignes sans
#   verifier l integrite des IDENTIFIANTS. D ou le controle 4.
# dossier : D:\softwareRenderer\Rodolf\Cours
# VALIDEE le 2026-08-13 :
#   1. completude : 258 lignes / 258 PDF du corpus -> OK
#   2. lignes a zero caractere : 26, toutes expliquees -> OK
#      (25 scans/chiffres + lightning.pdf, 100 % de caracteres illisibles)
#   3. population struct : 140/258 = 54,3 % (attendu ~55 %) -> OK
#   4. integrite des noms : 0 caractere de remplacement U+FFFD -> OK
fichier;struct;pages;passages;caracteres;empreinte
D:/softwareRenderer/Rodolf/Cours/presentationMake.pdf;0;34;162;9316;78f0d40c248f8d16
D:/softwareRenderer/Rodolf/Cours/Presse-papiers.pdf;1;13;152;30802;7e9c4e18e0c37347
D:/softwareRenderer/Rodolf/Cours/Prog EN_FR.pdf;0;12;61;7797;af41066f6a82aec1
D:/softwareRenderer/Rodolf/Cours/Programmation événementielle.pdf;1;37;434;94436;fe1b7ff1f97420fc
D:/softwareRenderer/Rodolf/Cours/programmer.pdf;0;246;1684;415474;00b1d391c6965694
D:/softwareRenderer/Rodolf/Cours/Programming-with-C-and-Lab.pdf;0;199;603;282054;99766a7362dca7ac
D:/softwareRenderer/Rodolf/Cours/Programming_Entity_Framework_-_Building_Data_Centric_Apps_with_the_ADO.NET_Entity_Framework_2nd_Edition.pdf;0;914;6259;1876745;98c4331eaedc398d
D:/softwareRenderer/Rodolf/Cours/Rajasegaran_DeepCaps_Going_Deeper_With_Capsule_Networks_CVPR_2019_paper.pdf;0;9;31;37167;5fa46b722f59b53e
D:/softwareRenderer/Rodolf/Cours/Raw Vulkan.pdf;0;40;322;34445;9eb6b7a6e07f3ef8
D:/softwareRenderer/Rodolf/Cours/react-native-fr.pdf;0;101;1071;107882;aebc344122b602c7
D:/softwareRenderer/Rodolf/Cours/react_native_tutorial.pdf;1;117;2049;72272;1ca00bbcff5bf25a
D:/softwareRenderer/Rodolf/Cours/RECT (windef.h) - Win32 apps _ Microsoft Learn.pdf;1;2;24;785;abbfd97587614882
D:/softwareRenderer/Rodolf/Cours/Rectangle function (wingdi.h) - Win32 apps _ Microsoft Learn.pdf;1;3;40;1546;9cb00e62dd7f7505
D:/softwareRenderer/Rodolf/Cours/Render Targets, Devices, and Resources - Win32 apps _ Microsoft Learn.pdf;1;5;49;6045;351314c513ef8b04
D:/softwareRenderer/Rodolf/Cours/Responding to Mouse Clicks - Win32 apps _ Microsoft Learn.pdf;1;4;57;4850;da533e569324214f
D:/softwareRenderer/Rodolf/Cours/RoughPlaneAnalysis.pdf;0;17;260;31139;732ee74b4ef4d4b0
D:/softwareRenderer/Rodolf/Cours/RoundRect function (wingdi.h) - Win32 apps _ Microsoft Learn.pdf;1;3;42;1629;de755db496922e5e
D:/softwareRenderer/Rodolf/Cours/Saisie au clavier (Démarrez avec Win32 et C++) - Applications Win32 _ Microsoft Apprendre.pdf;1;8;72;12480;80187df5ad79b587
D:/softwareRenderer/Rodolf/Cours/sc415607.pdf;0;656;6890;1283243;cd99e715f824cc04
D:/softwareRenderer/Rodolf/Cours/SESSION_DE_LANCEMENT_CERTIFICAT_IA_POUR_TOUS_1_.pdf;1;1;2;1404;1dd20107211ef7d2
D:/softwareRenderer/Rodolf/Cours/SetBkColor function (wingdi.h) - Win32 apps _ Microsoft Learn.pdf;1;3;39;1716;3a32161ab40cd346
D:/softwareRenderer/Rodolf/Cours/SetBkMode function (wingdi.h) - Win32 apps _ Microsoft Learn.pdf;1;4;44;3584;4779ef2dd7177fa1
D:/softwareRenderer/Rodolf/Cours/Setting the Cursor Image - Win32 apps _ Microsoft Learn.pdf;1;2;21;2738;d7ad296e1ef92f20
D:/softwareRenderer/Rodolf/Cours/SetWindowRgn function (winuser.h) - Win32 apps _ Microsoft Learn.pdf;1;3;40;2298;f7e48cb0fcd54ab4
D:/softwareRenderer/Rodolf/Cours/Shadow volumes – www.keithlantz.net.pdf;0;13;154;22195;36cdc5de32b3bb38
D:/softwareRenderer/Rodolf/Cours/Simulation océanique, deuxième partie _ utilisation de la transformée de Fourier rapide – www.keithlantz.net.fr.pdf;0;27;462;38306;bdb59e328ede7dff
D:/softwareRenderer/Rodolf/Cours/Simulation océanique, première partie _ utilisation de la transformée de Fourier discrète – www.keithlantz.net.pdf;0;31;546;50440;8b234187be1ce347
D:/softwareRenderer/Rodolf/Cours/spring-boot-fr.pdf;0;105;1008;145225;6de5f8a491c2aa7e
D:/softwareRenderer/Rodolf/Cours/spring-boot-reference.pdf;0;973;15191;1652253;8de623ced3dd98fa
D:/softwareRenderer/Rodolf/Cours/spring_boot_tutorial.pdf;0;332;9588;384048;f60af8fcbd8d2f22
D:/softwareRenderer/Rodolf/Cours/TCP_IP.pdf;0;285;1682;468508;62dd479367d66ff5
D:/softwareRenderer/Rodolf/Cours/ToUnicode function (winuser.h) - Win32 apps _ Microsoft Learn.pdf;1;4;60;4515;11fba91663267aa8
D:/softwareRenderer/Rodolf/Cours/Traceur de chemin _ lentille fine, cartographie de texture, équations de Fresnel et ombrage fluide – www.keithlantz.net.pdf;0;9;129;7836;ddb4a63566275d34
D:/softwareRenderer/Rodolf/Cours/Traitement des images.pdf;1;25;362;97934;3a6c29a31cc82f1d
D:/softwareRenderer/Rodolf/Cours/Tutoriel Makefile par exemple.pdf;1;26;329;36620;b3fb932bbc85e428
D:/softwareRenderer/Rodolf/Cours/Télécommunications en Cameroun.pdf;0;5;59;6380;116cc981e5a6a989
D:/softwareRenderer/Rodolf/Cours/Un objet joystick Linux C++ – www.keithlantz.net.pdf;0;10;160;11527;529124b0aaaf4412
D:/softwareRenderer/Rodolf/Cours/User input extended example - Win32 apps _ Microsoft Learn.pdf;1;7;64;8139;8d879e2aea9f3388
D:/softwareRenderer/Rodolf/Cours/Using Color in Direct2D - Win32 apps _ Microsoft Learn.pdf;1;4;48;5123;64077360e0551160
D:/softwareRenderer/Rodolf/Cours/Using Filled Shapes - Win32 apps _ Microsoft Learn.pdf;1;7;26;9919;9a9895eee4c082ae
D:/softwareRenderer/Rodolf/Cours/Vecteezy-License-Information.pdf;0;8;58;9051;d4f537a00dd3af53
D:/softwareRenderer/Rodolf/Cours/Virtual-Key Codes (Winuser.h) - Win32 apps _ Microsoft Learn.pdf;1;10;209;6658;ca80d3f5508b67b9
D:/softwareRenderer/Rodolf/Cours/Win32 API Tutorial 3 - How To Draw Pixels in A Window Using GDI in Win32 API (Graphics Device Interface).pdf;1;2;29;2946;0c69d29c4458f0d9
D:/softwareRenderer/Rodolf/Cours/windows-win32-direct3dgetstarted.pdf;1;76;762;116238;180339d3b009911e
D:/softwareRenderer/Rodolf/Cours/WM_CHAR message (Winuser.h) - Win32 apps _ Microsoft Learn.pdf;1;4;45;3844;988b1597485b9c15
D:/softwareRenderer/Rodolf/Cours/WM_KEYDOWN message (Winuser.h) - Win32 apps _ Microsoft Learn.pdf;1;4;42;3344;0706f4c5052ac548
D:/softwareRenderer/Rodolf/Cours/Writing a Cross-Platform Dynamic Library · Liz's.pdf;0;8;74;16388;a697a72a2571d8a3
D:/softwareRenderer/Rodolf/Cours/XINPUT and Controller Subtypes - Win32 apps _ Microsoft Learn.pdf;1;3;20;3089;3d683cb230aab997
D:/softwareRenderer/Rodolf/Cours/xinput.pdf;0;5;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/XInputEnable function (xinput.h) - Win32 apps _ Microsoft Learn.pdf;1;2;33;1532;c11e63375f904600
D:/softwareRenderer/Rodolf/Cours/Your First Direct2D Program - Win32 apps _ Microsoft Learn.pdf;1;5;52;5024;4e5f039cba0e1839
D:/softwareRenderer/Rodolf/Cours/__1.pdf;0;64;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/__2.pdf;0;8;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/__3.pdf;0;4;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/__4.pdf;0;7;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/__5.pdf;0;56;0;0;14650fb0739d0383
